가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,image1,menu2,price2,image2,menu3,price3,image3,menu4,price4,image4
대한족발보쌈 합정본점,0.555,0.14,0.051,0.062,0.066,0.077,0.048,0,0,166808344,서울 마포구 양화로6길 53,02-322-4465,합정 대표 왕족발(+비빔막국수+주먹밥)(중),"38,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211201_271%2F1638338693639J6aMF_JPEG%2F_5Mj_tINtZ-ekvPKbaF_jvH50s-8MD6wNtz97tuZgphtEOKGYWEllxjOXO4zKGgv.jpg,합정 대표 왕족발(+비빔막국수+주먹밥)(대),"43,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211201_271%2F1638338693639J6aMF_JPEG%2F_5Mj_tINtZ-ekvPKbaF_jvH50s-8MD6wNtz97tuZgphtEOKGYWEllxjOXO4zKGgv.jpg,합정 대표 왕족발(+비빔막국수+주먹밥)(특대),"56,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211201_271%2F1638338693639J6aMF_JPEG%2F_5Mj_tINtZ-ekvPKbaF_jvH50s-8MD6wNtz97tuZgphtEOKGYWEllxjOXO4zKGgv.jpg,마늘왕족발(+비빔막국수+주먹밥)(중),"41,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211201_255%2F1638338693654I0yNo_JPEG%2F_5Mj_tINtZ-ekvPKbaF_juw5MdeUbNB8IHCe4QhQAwvXE8Y3qDYfGaAqLYVUUUBF.jpg
올레쭈꾸미,0.272,0.184,0.031,0.082,0.142,0.131,0.148,0,0.011,169794467,서울 마포구 동교로 282 1층 올레쭈꾸미,02-6368-3013,쭈꾸미덮밥(2인),"20,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211130_246%2F1638266473712XqgYi_JPEG%2FnmmXGG_eAb9UzxHVSd7oMHpt8ZMWgP8rKK7_45263VE%253D.jpg,쭈꾸미덮밥(3인),"30,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211130_246%2F1638266473712XqgYi_JPEG%2FnmmXGG_eAb9UzxHVSd7oMHpt8ZMWgP8rKK7_45263VE%253D.jpg,쭈꾸미덮밥(4인),"40,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211130_246%2F1638266473712XqgYi_JPEG%2FnmmXGG_eAb9UzxHVSd7oMHpt8ZMWgP8rKK7_45263VE%253D.jpg,쭈꾸미볶음(중),"28,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211130_207%2F1638266473660AKNKS_JPEG%2FizfhAPwiGYPrayHwW5RVkppVDaOS6ZGSrrbCU8Knew8%253D.jpg
담택,0.316,0.106,0.148,0.025,0.067,0.054,0.077,0.069,0.137,106835163,서울 마포구 월드컵로8길 34 1층,02-336-0974,능이덮밥,"4,500원",none,시오라멘,"9,000원",none,유자시오라멘,"10,000원",none,레몬시오라멘,"10,000원",none
사쓰부,0.403,0.124,0.059,0.097,0.113,0.075,0.032,0,0.097,103329700,서울 마포구 월드컵북로5길 68 제1층 101호,0507-1433-9041,어향가지,"18,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210922_286%2F1632310803109ilNNC_JPEG%2F-Vg1ZEYVSKOt8janufCZycZa.jpg,사천누룽지탕,"25,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210922_70%2F1632306733353OPKto_JPEG%2FI8nu-Ugs37TCN8P9aPxOLplQ.jpg,마늘새우,"22,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210831_177%2F16303704488360Sw0x_JPEG%2FoSY4Wr0CJClbg8n_4I8HRpXK.jpeg.jpg,크림새우,"22,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210922_40%2F1632310784788I1ISk_JPEG%2FocfbeMkM4EggqKAVoh0qIDhs.jpg
엘비스텍,0.3,0.18,0.141,0.045,0.108,0.08,0.036,0.11,0,2038392,서울 마포구 연남로1길 26 1층,0507-1373-1713,,,,,,,,,,,,
주과려,0.36,0.212,0.064,0.069,0.138,0,0,0.158,0,129039307,서울 마포구 포은로 12 2층,0507-1460-2265,토마토 비프 스튜,"23,000원",none,칠리치즈프라이,"20,000원",none,밀푀유나베,"22,000원",none,,,
잇번,0.215,0.149,0.066,0.101,0.108,0.142,0.047,0.066,0.106,109294262,서울 마포구 잔다리로 30-26 1층,0507-1309-8496,핫도그브런치,"14,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230208_131%2F16758417686350Y9mJ_PNG%2F%25C4%25A5%25B8%25AE%25BA%25EA%25B7%25B1%25C4%25A102.png,잇번브런치,"13,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230208_28%2F1675841788428XXFmD_PNG%2F%25C0%25D5%25B9%25F8%25BA%25EA%25B7%25B1%25C4%25A102.png,칠리핫도그,"5,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230227_225%2F1677479387774xa1ko_JPEG%2F%25C4%25A5%25B8%25AE%25C7%25D6%25B5%25B5%25B1%25D72.jpg,어니언델리핫도그,"5,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230227_121%2F1677479691712VJs6s_PNG%2F%25BE%25EE%25B4%25CF%25BE%25F0%25B5%25A8%25B8%25AE.png
아띠네,0.253,0.173,0.16,0.083,0.122,0,0.024,0.185,0,179452822,서울 마포구 와우산로 39-11 1층,0507-1390-5335,XO치미추리스테이크,"39,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230616_222%2F1686884887964vaO8P_JPEG%2F1686654503820.jpg,아띠네 멘보샤,"26,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230213_253%2F1676267733760cCDlL_JPEG%2F20230122_162808.jpg,단호박 뇨끼,"22,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230213_63%2F16762679751476T7Fu_JPEG%2F20230122_163057.jpg,아띠네 유린기,"24,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230616_299%2F1686905599869FVVrz_JPEG%2F20230616_174225.jpg
고에몬 AK플라자 홍대,0.351,0.127,0.167,0.073,0.05,0.036,0.095,0.059,0.043,142631571,서울 마포구 양화로 188 AK& 홍대점 5층,02-789-9852,까르보나라 멘타이꼬,"13,000원",none,수플레오믈렛 멘타이꼬 리조또,"15,000원",none,소시지&스팸 나폴리탄,"14,000원",none,요쿠바리 간장버터,"14,000원",none
래래원,0.474,0.151,0.036,0.048,0.104,0.064,0.048,0,0.076,1315474,서울 마포구 동교로9길 70,02-325-7633,볶음밥,"7,000원",none,새우밥,"8,000원",none,잡채밥,"8,000원",none,송이밥,"8,000원",none
키토분식 동교점,0.302,0.095,0.125,0.063,0.159,0.049,0.027,0.005,0.174,198418511,서울 마포구 동교로 187,0507-1365-1692,햄야채김밥,"4,800원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_83%2F1696916164067iCTxM_PNG%2F%25C7%25DC%25BE%25DF%25C3%25A41.png,햄치즈김밥,"5,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_282%2F1696916532668pAWqX_PNG%2F%25C7%25DC%25C4%25A1%25C1%25EE1.png,고소한유부김밥,"5,800원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_260%2F1696916123458bbD3k_PNG%2F%25C0%25AF%25BA%25CE1.png,묵은지참치김밥,"6,800원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_152%2F1696916540183HgtPf_PNG%2F%25B9%25AC%25C0%25BA%25C1%25F6%25C2%25FC%25C4%25A11.png
아소토,0.461,0.188,0.166,0.052,0,0,0,0.133,0,156768153,서울 마포구 독막로2길 34 1층 아소토,0507-1345-9622,제철사시미,"40,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200615_122%2F1592218629297cjBRp_JPEG%2FNVu6rZFNyglVFftARW8f_F_A.jpeg.jpg,마구로치즈아에,"18,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200412_70%2F1586688274977kkTWH_JPEG%2FBczT1DlkYJ5QLr6FKt5gjuP9.jpeg.jpg,닭목살소금구이,"16,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200412_141%2F1586688293268pzIvK_JPEG%2FphBSas-cqoylUde-eY6nFzoz.jpeg.jpg,바지락술찜,"20,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200412_100%2F1586688331504DTJo6_JPEG%2Fu0-giGjMCNMMEYnaoPDqMjbP.jpeg.jpg
566라멘,0.223,0.128,0.181,0,0.039,0.064,0.202,0.007,0.156,146363964,서울 마포구 연남로3길 33 제1층,0507-1446-0940,지로 라멘,"10,000원",none,지로풍 아부라소바,"11,000원",none,,,,,,
구공탄곱창 합정2호점,0.481,0.183,0.061,0.029,0.049,0.093,0.104,0,0,3746802,서울 마포구 성지길 18 구공탄곱창,0507-1352-9092,막창구이,"13,000원",none,곱창구이,"13,000원",none,연탄갈매기,"13,000원",none,오돌갈비,"13,000원",none
offmoment,0.538,0.231,0.154,0,0,0.077,0,0,0,191517011,서울 마포구 성지길 35,,,,,,,,,,,,,
테라김밥 홍대본점,0.42,0.06,0.119,0.031,0.078,0.086,0.048,0.011,0.146,106808226,서울 마포구 어울마당로 79 1층,02-338-0033,테라김밥,"3,500원",none,베이컨 김밥,"4,500원",none,크레미김밥,"4,500원",none,테라비빔밥,"6,000원",none
가화만사성,0.38,0.118,0.037,0.035,0.067,0.168,0.116,0,0.081,62014610,서울 서대문구 연세로5가길 1,02-3142-6172,찹쌀탕수육 + 짜장1,"20,000원",none,고추잡채 + 짜장2,"36,000원",none,볶음밥,"6,500원",none,육개장,"7,000원",none
그녀의밥상,0.33,0.138,0,0,0.043,0.191,0.106,0.011,0.181,3728173,서울 마포구 와우산로21길 36-4 지하 그녀의밥상,02-324-4074,제육볶음밥상,"9,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220205_50%2F1644044609452nHTmb_JPEG%2F20191226_150230.jpg,고등어구이밥상,"9,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220205_63%2F1644044760417m05vf_JPEG%2F20191226_122205.jpg,순두부찌게,"8,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220205_68%2F1644044992690iK1pe_JPEG%2F20191226_122047.jpg,낙지볶음밥상,"9,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220205_261%2F1644044502197P9Iud_JPEG%2F20191226_121726.jpg
레이몬드 홍대점,0.221,0.158,0.063,0.109,0.06,0.096,0.074,0.175,0.044,112688239,서울 마포구 양화로18안길 15 1층,0507-1426-6110,감치떡세트,"19,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230807_274%2F16914009490059exCo_JPEG%2F%25BC%25BC%25C6%25AE%25B8%25DE%25C6%25A9.jpg,맥치세트,"14,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_198%2F1696556067278AmExN_JPEG%2FKakaoTalk_20231004_153443931.jpg,피오맥세트,"14,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_287%2F1696556099028S1N4Y_JPEG%2FKakaoTalk_20231004_153456214.jpg,CHEESE PIZZA,"4,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230717_104%2F1689567972657tDmgX_JPEG%2F1_CHEESE_PIZZA.jpg
홍대돈부리 본점,0.387,0.146,0.059,0.03,0.074,0.074,0.088,0.021,0.123,2005041,"서울 마포구 잔다리로6길 40-8 지하1층, 1층",0507-1404-8398,사케동,"15,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230711_175%2F1689057771576z3qIl_JPEG%2F%25BB%25E7%25C4%25C9%25B5%25BF.jpg,가츠동,"9,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220826_77%2F1661497698076qoa2m_JPEG%2F%25B0%25A1%25C3%25F7%25B5%25BF-%25B0%25A1%25B7%25CE.jpg,에비동,"9,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220826_105%2F1661497626057NbpjV_JPEG%2F%25BF%25A1%25BA%25F1%25B0%25A1%25C3%25F7%25B5%25BF_%25C8%25AE%25B4%25EB.JPG,가라아게,"5,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220826_243%2F1661497751282rhu70_JPEG%2F%25B0%25A1%25B6%25F3%25BE%25C6%25B0%25D4%2528%25BB%25E7%25C0%25CC%25B5%25E5%2529%25C8%25AE%25B4%25EB.JPG
양궈푸마라탕 홍대점,0.251,0.114,0.026,0.128,0.191,0.065,0.093,0.07,0.062,103252598,서울 마포구 홍익로3길 36 2층,02-3144-6678,셀프마라탕(맛보기 마라탕),"9,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231013_287%2F16971830396179zedS_JPEG%2FaRGH5Qqpq9YnKR0kJDPqgAHY1dcos91daeMi-KaC9mzMgrBqtBKR-0l1ZK4QaJNsBRSpMfquipR6mc4E.jpg,셀프마라탕(셀프마라탕500g),"10,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231013_265%2F1697183039611fV6us_JPEG%2FaRGH5Qqpq9YnKR0kJDPqgAHY1dcos91daeMi-KaC9mzMgrBqtBKR-0l1ZK4QaJNsBRSpMfquipR6mc4E.jpg,셀프마라탕(셀프마라탕1.5인분800g),"16,800원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231013_287%2F16971830396179zedS_JPEG%2FaRGH5Qqpq9YnKR0kJDPqgAHY1dcos91daeMi-KaC9mzMgrBqtBKR-0l1ZK4QaJNsBRSpMfquipR6mc4E.jpg,셀프마라탕(셀프마라탕2인분1000g),"21,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231013_265%2F1697183039611fV6us_JPEG%2FaRGH5Qqpq9YnKR0kJDPqgAHY1dcos91daeMi-KaC9mzMgrBqtBKR-0l1ZK4QaJNsBRSpMfquipR6mc4E.jpg
홍콩반점,0.411,0.202,0.022,0.025,0.048,0.131,0.084,0.013,0.064,75982054,서울 마포구 월드컵로1길 28 2층,0507-1426-6901,특별. 사천탕수육+짜장2,"24,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220313_173%2F1647138982132vikvs_JPEG%2F692428_286_20171021163343.jpg,0. 탕수육+(짜장 / 짬뽕) 1택,"18,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220313_50%2F1647138982242xHMci_JPEG%2F692428_286_20171021163350.jpg,1. 잡채+짜장+짬뽕,"21,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220313_174%2F1647138982153K4xpk_JPEG%2F692428_286_20171021163359.jpg,2. 탕수육+짜장+짬뽕,"23,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220313_297%2F1647138982299ieInL_JPEG%2F692428_286_20171021163404.jpg
유부,0.301,0.136,0.091,0.061,0.104,0.087,0.037,0.028,0.155,124959317,서울 마포구 동교로 277 1층,02-6401-3100,한우육회 유부,"3,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230623_298%2F16875313265153Xto3_JPEG%2FKakaoTalk_20230621_142245963_14.jpg,숙성생연어 유부,"3,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230623_206%2F1687531342357Yb7Gp_JPEG%2FKakaoTalk_20230621_142245963_18.jpg,유부우동,"6,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230623_114%2F1687531360636q1efm_JPEG%2FKakaoTalk_20230621_142245963_12.jpg,얼큰홍우동,"7,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230623_58%2F1687531370090OYQAX_JPEG%2FKakaoTalk_20230621_142245963_11.jpg
광야,0.312,0.141,0.153,0.108,0.098,0,0.027,0.161,0,140100172,서울 마포구 월드컵북로4길 82 1층 광야,0507-1318-1486,한우 부채살스테이크,"75,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230129_294%2F1674986058316veckq_JPEG%2F78452E06-5244-48A1-958F-3E684ACAFD94.jpeg,들깨 크림 뇨끼,"22,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220311_27%2F1646989225415EcuQ5_JPEG%2F20967CA9-46A8-47C1-833A-F6696A82F321.jpeg,성게알 파스타,"24,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200731_21%2F1596201944466ldXWN_JPEG%2FcHTb2KDn3uxxRDGXgIXVRNFu.jpeg.jpg,제주 흑돼지 뼈등심,"45,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210926_101%2F163264418391498U8o_JPEG%2FqA1B67FlvCcX7jk5fI-8bRe4.jpeg.jpg
구스토타코,0.431,0.125,0.145,0.054,0.084,0,0.051,0.071,0.039,3323766,서울 마포구 와우산로 41,02-338-8226,더블세트,"20,500원",none,부리또세트,"24,500원",none,케사디아세,"22,500원",none,버거세트,"25,500원",none
이가네양꼬치 합정점,0.54,0.094,0.104,0.053,0.111,0.044,0.053,0,0,175057030,"서울 마포구 월드컵로1길 14 B118-1호,2호",02-338-6788,양왕갈비(250g),"25,000원",none,양등심꼬치(250g),"22,000원",none,양왕꼬치,"18,000원",none,마늘,"3,000원",none
콩청대,0.337,0.157,0.073,0.075,0.135,0.075,0.062,0,0.086,132061884,서울 마포구 포은로 29-1,0507-1361-4434,초당순두부,"8,000원",none,콩국수,"11,000원",none,콩국물 900ml,"9,000원",none,콩국물 1.8 ml,"17,000원",none
가스트로스페인,0.34,0.243,0.125,0.09,0.076,0.014,0.014,0.097,0,109627314,서울 마포구 동교로38안길 18,010-9771-1519,초리소 빠에야,"28,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230610_143%2F1686400708687vvpRX_JPEG%2Fpaellachorizo_300.jpg,감바스,"16,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230721_32%2F1689948891761osUHr_JPEG%2FIMG_2344_copia.jpg,새우 빠에야,"29,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230610_80%2F1686400325451H4sAx_JPEG%2Fpaella_langostino.jpg,먹물 빠에야,"30,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230721_128%2F1689948823625iwbpb_JPEG%2FIMG_2338_copia.jpg
신가네빨간집뼈해장국 본점,0.309,0.152,0.033,0.089,0.085,0.117,0.141,0,0.075,121693127,서울 마포구 양화로3길 39 1층,02-6052-0055,푸짐한 부자 감자탕(소),"29,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210709_4%2F162581266268981PVf_JPEG%2F369n1LsieSCdawYfcMWYLjzgMHD28630HwL5gRTHVdNvPLLJfZv6EmhZ--7I6JRz.jpg,푸짐한 부자 감자탕(중),"36,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210709_4%2F162581266268981PVf_JPEG%2F369n1LsieSCdawYfcMWYLjzgMHD28630HwL5gRTHVdNvPLLJfZv6EmhZ--7I6JRz.jpg,푸짐한 부자 감자탕(대),"44,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210709_4%2F162581266268981PVf_JPEG%2F369n1LsieSCdawYfcMWYLjzgMHD28630HwL5gRTHVdNvPLLJfZv6EmhZ--7I6JRz.jpg,단백질 뿜뿜 뼈해장국,"11,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211202_146%2F1638417204800Tu2C8_JPEG%2F369n1LsieSCdawYfcMWYLvDNYe6wr3xQyy3Cm8JTqZXEfyiROZQIyDOiixd6LtiY.jpg
토모토카레 홍대점,0.351,0.135,0.07,0.083,0.076,0.068,0.057,0.033,0.128,166441184,서울 마포구 와우산로29길 27 1층,02-3144-4200,토모토 카레(중),"7,000원",none,오므 카레,"8,000원",none,폭탄 라이스,"9,500원",none,치즈 함바그 토핑,"3,500원",none
데일리라운드,0.244,0.137,0.127,0.097,0.131,0.077,0.051,0.136,0,3407914,서울 마포구 동교로38길 27-19,0507-1419-7880,"3단 브런치 / 파스타,샌드위치,샐러드,토스트 등 구성","39,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_21%2F1586077574795ANdbY_JPEG%2F4P8d9AER2VcVyWgr4tU3ZI-a.jpg,생딸기 브레드 (디저트),"9,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200305_30%2F1583404927169Xn4wn_JPEG%2F97pgMSt0vgpZZ0cvcDQxgsJ8.jpg,치즈 블루스 (수제버거),"12,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200305_249%2F1583404838103UT2PL_JPEG%2FJ55iX3zAaV66dRRr5bMgXpk8.jpg,홈메이드 리코타 샐러드 (샐러드),"13,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_268%2F1586077726006joY0s_JPEG%2FzzU1DykJGImzap2I74Y2wP0r.jpg
술잔,0.31,0.286,0,0.095,0.048,0,0,0.262,0,147571957,서울 마포구 포은로 52-1 지하1층,0507-1488-0531,대창육개장전골,"24,000원",none,소고기폭탄 쌀국수 (특),"15,000원",none,은찌 (고추장찌개),"20,000원",none,게딱지파스타,"16,000원",none
틸애프터,0.242,0.147,0.133,0.13,0.077,0.077,0,0.194,0,121606665,서울 마포구 양화로19길 22-30 1층,0507-1357-3340,단새우 들기름 콜드 파스타,"12,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230823_114%2F1692763725459IsI6p_JPEG%2FKakaoTalk_20230823_124704768.jpg,칠리 피넛 멘보샤,"14,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230207_242%2F1675772076787QihML_JPEG%2F%25C4%25A5%25B8%25AE_%25C7%25C7%25B3%25D3_%25B8%25E0%25BA%25B8%25BB%25FE_%25C8%25AE%25B4%25EB.jpg,차돌 들깻잎 파스타,"14,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231001_56%2F16961558843215jrp2_JPEG%2FKakaoTalk_20231001_190553933.jpg,청양 라구 크림 뇨끼,"16,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231001_37%2F1696156490771xh6ga_JPEG%2FKakaoTalk_20231001_190913396.jpg
핑크솔트 숯불구이,0.362,0.158,0.051,0.143,0.179,0,0,0.107,0,126755693,서울 마포구 양화로 16 핑크솔트,0507-1399-3334,LA갈비 세트메뉴,변동,none,한우 안심 1++(100g),변동,none,한우 등심 1++(100g),변동,none,한우 채끝 1++(100g),변동,none
로쏘 1924 나폴리 화덕피자 홍대점,0.276,0.084,0.099,0.104,0.175,0.12,0.031,0.063,0.048,101747488,서울 마포구 홍익로 29 1층 로쏘 1924 나폴리 화덕피자,0507-1332-1924,,,,,,,,,,,,
