가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,menu2,price2,menu3,price3,menu4,price4
가츠신 본점,0.368,0.142,0.033,0.028,0.123,0.067,0.151,0.008,0.08,109912335,서울 마포구 독막로2길 22 1층,02-324-8988,치즈가츠,"14,000원",제주흑돼지 안심가츠,"13,000원",제주흑돼지 등심가츠,"12,000원",제주흑돼지 안심카레,"15,000원"
디트로이트 피지스,0.303,0.179,0.069,0.107,0.102,0.07,0,0.17,0,134259502,서울 마포구 동교로46길 34 1.5층,0507-1375-2134,Half & Half,"1,000원",Half 피자,"1,000원",Simple is the best,"18,000원",콜비잭 피그잼,"20,000원"
비등점,0.294,0.246,0.153,0.159,0,0,0,0.148,0,154192177,서울 마포구 동교로38안길 22 1층,0507-1367-3488,와규1++수비드타다끼,"35,000원",멘타이코관자,"25,000원",모츠 나베,"30,000원",중화풍 가라아게,"22,000원"
강남,0.45,0.092,0.035,0.04,0.097,0.102,0.145,0,0.04,1860450,서울 영등포구 당산로 214 당산 삼성 래미안,02-2633-8124,짜장면,"7,000원","삼선짜장, 삼선짬뽕 각","12,000원",쟁반짜장 2인,"17,000원",탕수육 중,"17,000원"
각시보쌈,0.42,0.089,0.04,0.035,0.09,0.181,0.117,0,0.029,3827485,서울 마포구 성지길 25 보광빌딩,02-333-8786,각시정식,"9,500원",해물순두부,"7,500원",오가리찌개,"7,500원",쟁반국수,변동
목로관,0.342,0.163,0.148,0.091,0.114,0.071,0.072,0,0,199640129,서울 마포구 어울마당로 126,0507-1319-5587,짚불돈마호크 250g,"22,900원",우대갈비 250g,"31,900원",짚불가로막살(국내산) 150g,"15,900원",벌집꽃목살(국내산) 150g,"15,900원"
쿄다이텐동,0.271,0.126,0.046,0.095,0.106,0.06,0.133,0.031,0.133,199260649,서울 마포구 동교로38길 33 지1층 2호,0507-1389-0249,스페셜텐동,"16,000원",전복텐동,"14,500원",아나고텐동,"14,000원",에비텐동,"13,000원"
오이지 연남,0.333,0.141,0.184,0.086,0.076,0.058,0.052,0.04,0.028,172889566,서울 마포구 연희로1길 15 지층 오이지 연남,0507-1361-4838,차돌 들기름 국수,"11,500원",명란 치즈 순두부,"13,000원",오이지 냉모밀(시즌메뉴),"11,800원",꼬막 비빔밥,"10,800원"
나드리김밥 홍대입구역점,0.3,0.09,0.059,0.05,0.073,0.185,0.018,0,0.224,123897581,"서울 마포구 양화로 188 , 지하 2층(동교동, 공항철도 홍대입구역)",02-337-4297,참치꼬마김밥,"1,000원",스팸꼬마김밥,"1,000원",돈가스꼬마김밥,"1,000원",불떡꼬치,"1,000원"
윤수김밥,0.328,0.134,0.036,0.022,0.071,0.129,0.048,0,0.233,199307280,서울 마포구 동교로 218,070-7725-4120,소고기덮밥,"7,000원",윤수김밥,"4,000원",박고지김밥,"4,000원",매콤제육김밥,"5,000원"
폴베리,0.237,0.155,0.162,0.094,0.162,0.027,0,0.094,0.068,160525272,서울 마포구 포은로 40,0507-1428-0019,마리나라(비건100%),"15,000원",마르게리따,"17,000원",고메마르게리따,"25,000원",판제로띠(피자튀김),변동
백식당,0.259,0.145,0.095,0.132,0.178,0.035,0,0.107,0.049,124207006,서울 마포구 동교로38길 28 2층,0507-1311-0487,모듬동 (카이센동),"20,000원",연어동,"15,000원",규타다끼동,"15,000원",(4종)연어&규&단새우&관자동,"39,000원"
연교,0.423,0.087,0.206,0.025,0.077,0.1,0.046,0.013,0.023,105122042,서울 마포구 연희로1길 65 1층,010-5882-5112,성쟁바오,"7,000원",오향닭(소),"12,000원",궈티에,"7,000원",,
감성타코 홍대점,0.45,0.145,0.119,0.06,0.067,0,0.079,0.081,0,3878240,서울 마포구 와우산로21길 20-11 2층,02-337-8883,까르니따스 치즈 타코,"10,000원",파인애플 살사 베르데 타코,"10,000원",자메이카 저크 치킨 타코,"10,000원",칠리라차 쉬림프 타코,"11,000원"
더한쭈꾸미 홍대본점,0.44,0.21,0.044,0.04,0.081,0.109,0.076,0,0,3631473,서울 마포구 양화로6길 48,02-323-2789,쭈꾸미,"14,000원",쭈·삼,"14,000원",쭈·곱,"15,000원",쭈곱새,"16,000원"
미카도스시 합정역점,0.3,0.159,0.036,0.08,0.096,0.209,0.02,0,0.1,152755955,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층,02-333-3390,"모둠,광어,연어,스페셜,오늘의 초밥","12,000~21,000",한 접시,"1,900원",점심특선세트(평일),"9,500원",,
세상끝의라멘,0.295,0.149,0.104,0.095,0.097,0.05,0.046,0.046,0.118,164440725,서울 마포구 양화로7길 6-5,0507-1375-1361,첫라멘 R,"9,000원",끝라멘 L,"12,000원",기린병맥주,"7,000원",클라우드 생,"3,000원"
연남동와이탑,0.253,0.225,0.148,0.137,0.056,0,0,0.181,0,197816143,"서울 마포구 성미산로 163 2층, 3층",0507-1454-3203,비프웰링턴(한정수량-25분소요),"48,000원",풍기크림파스타,"19,500원",베리베리베리샐러드,"14,000원",카프레제샐러드,"15,000원"
진경순 부대꼬마김밥 홍대직영점,0.254,0.122,0.046,0.112,0.061,0.152,0.066,0,0.188,116764932,서울 마포구 와우산로23길 42 1층,010-9932-5594,꼬마김밥 6줄,"4,500원",부꼬김 맵떡,"4,000원",부꼬김 할매 세트,"19,000원",가마솥 순대,"4,000원"
육연해 by 육회먹은연어,0.261,0.18,0.122,0.046,0.191,0.083,0.066,0.05,0,3700269,서울 마포구 양화로6길 102,070-7762-8283,한우 1++등급 프리미엄 육회 + 생연어(투뿔육회 100g + 연어 8p),"25,000원",한우 1++등급 프리미엄 육회 + 생연어(투뿔육회 150g + 연어 12p),"33,000원",한우 1++등급 프리미엄 육회 + 생연어(투뿔육회 180g + 연어 14p),"38,000원",,
락희돈,0.439,0.116,0.183,0,0.116,0.042,0.051,0.051,0,2094039,서울 마포구 월드컵북로2길 86,02-332-1233,볼살꼬치,"6,500원",돈설꼬치,"6,500원",항정살꼬치,"6,500원",치즈튀김꼬치,"4,500원"
구워삶다 합정점,0.35,0.173,0.086,0.026,0.048,0.207,0.11,0,0,3775560,서울 마포구 독막로3길 46,0507-1364-9333,,,,,,,,
쿠루미 1호점,0.453,0.132,0.157,0.075,0,0.044,0,0.138,0,3640628,서울 마포구 동교로 242-13 2층,0507-1401-7315,모듬 사시미,"51,000원",함박쯔꾸네,"19,000원",2인 사시미,"34,000원",마구로육회와 낫또,"22,000원"
토파,0.26,0.245,0.12,0.154,0.096,0,0,0.125,0,102303713,서울 마포구 토정로3길 5 1층,02-332-3693,Vongole,"20,000원",Truffle Gnocchi,"36,000원",T-born,"230,000원",,
미쁘동,0.314,0.18,0.178,0.073,0.14,0,0.031,0.048,0.037,168580579,서울 마포구 동교로38길 33-21 2층,0507-1350-1881,미쁘동,"15,000원",연어소바,"16,000원",토마토연어국수,"20,000원",가니미소대게딱지장,"10,000원"
Meld by kichijoji,0.381,0.195,0.22,0.085,0,0,0,0.119,0,192123022,서울 마포구 성지길 55,02-332-6552,알배추 구이,"9,000원",후토마끼,"15,000원",모듬오뎅 나베,"23,000원",스지오뎅 나베,"25,000원"
부에노떡볶이 서교본점,0.455,0.091,0.03,0.03,0.03,0.242,0.091,0.03,0,3829135,서울 마포구 동교로23길 79 1층 부에노떡볶이,0507-1422-2227,14000원이상주문시무료배달혼떡세트,"12,000원",B set,"19,000원",A set,"17,000원",로제 혼떡세트,"13,000원"
마나올라나,0.358,0.126,0.055,0.08,0.186,0.05,0.032,0.048,0.064,181682825,서울 마포구 성미산로 153-16 1층,010-7262-1532,아보카도 베이컨 샌드위치,"8,000원",클럽 샌드위치 B.L.T,"8,000원",구운버섯 치킨 샌드위치,"8,000원",스파이시 치킨 베이컨 샌드위치,"8,000원"
훈훈호떡,0.407,0.155,0.144,0.01,0.062,0.149,0.046,0,0.026,155072630,서울 마포구 포은로6길 25 지하1층 훈훈호떡,,아이스크림 꿀호떡(인절미/오레오),"4,000원",뿌링클호떡,"2,000원",오레오호떡,"2,000원",옥수수호떡,"1,500원"
다인,0.255,0.181,0.105,0.114,0.114,0.019,0.036,0.069,0.107,105394826,서울 마포구 동교로46길 10 2층 201호 다인,0507-1357-5447,함바그정식,"16,900원",네기부타동,"11,000원",나폴리탄,"12,000원",사이드 가라아게,"6,000원"
가미우동,0.338,0.126,0.093,0.047,0.075,0.141,0.057,0.014,0.11,1339015,서울 마포구 홍익로2길 23,02-322-3302,가께우동,"6,500원",와카메우동,"7,000원",츠키미우동,"7,000원",가마다마우동,"8,000원"
하쿠텐라멘,0.275,0.187,0.13,0.032,0.059,0.074,0.078,0.009,0.156,103121921,서울 마포구 동교로 266-12 반지하 왼쪽문,0507-1325-3758,이에케라멘,"9,000원",매운이에케라멘,"9,500원",카라아게(닭튀김),"4,000원","사이다,콜라","2,000원"
연남궁,0.22,0.158,0.113,0.104,0.17,0.068,0.083,0.083,0,170542506,서울 마포구 성미산로 190-33 2층 202호,0507-1485-1288,여름철 6 코스요리(점심 저녁 동일),"79,000원",,,,,,
교다이야,0.368,0.163,0.137,0.06,0.104,0.033,0.071,0.015,0.05,3686468,서울 마포구 성지길 39 합정빌딩 1층,02-2654-2645,가케우동,"9,000원",덴뿌라우동,"11,000원",니꾸우동,"11,000원",가마붓카케 우동,"10,000원"
일편등심 홍대본점,0.348,0.283,0.057,0.121,0.108,0,0,0.083,0,3456522,서울 마포구 홍익로6길 52 3층,0507-1403-1092,한우케이크(한정판매)/전화예약해주세요,"249,000원",1++ 명품SET,"212,000원",1++ 추천SET,"172,000원",1++ 일편SET,"152,000원"
로우샹로우,0.32,0.142,0.125,0.139,0.11,0,0,0.164,0,111051667,서울 마포구 양화로6길 50 1층,0507-1361-7626,A양갈비셋트,"66,000원",B양모듬셋트,"76,000원",C양모듬셋트,"106,000원",양 갈비구이 230g,"32,000원"
우와 연남점,0.33,0.174,0.16,0.079,0.099,0.021,0.049,0.068,0.021,122502783,서울 마포구 성미산로 161-11 2층,0507-1372-6559,토마토새우오꼬노미야키,"17,000원",돼지고기클래식야끼소바,"16,000원",철판꽃갈비살,"19,000원",닭고기시오소바,"17,000원"
후통,0.282,0.132,0.11,0.067,0.125,0.072,0.094,0.118,0,3877989,서울 마포구 독막로19길 32 1층,0507-1334-5874,"후통 마라촨 中 (마라탕,마라꼬치탕)","26,000원",후통 마라샹궈,"18,000원",유자유린기,"18,000원",꿔바로우,"14,000원"
연우김밥 성산점,0.352,0.104,0.084,0.034,0.168,0.082,0.05,0,0.126,194139643,서울 마포구 성미산로 17,02-336-4522,,,,,,,,
홍대공감,0.468,0.212,0.156,0,0,0,0,0.164,0,165457720,서울 마포구 와우산로17길 10 2F,0507-1319-1675,사시미 특 모리아와세,"70,000원",사시미 중 모리아와세 (21pcs),"47,000원",한우모츠나베,"28,000원",수제 치즈 해물 오꼬노미야끼,"24,000원"
잇다프로젝트 연남,0.253,0.199,0.17,0.089,0.164,0,0,0.125,0,134466182,서울 마포구 성미산로31길 14 어쩌다집 1층,0507-1366-2258,,,,,,,,
양화로쭈꾸미,0.26,0.197,0,0.153,0.174,0.073,0.116,0.027,0,176699612,서울 마포구 양화로 27 1층 양화로쭈꾸미,0507-1438-1984,철판쭈꾸미350g,"15,000원",철판 불오징어 한판 (2인),"26,000원",점심특선 철판쭈꾸미(공휴일제외),"10,000원",점심특선 철판제육(공휴일제외),"10,000원"
라와마라탕 상수점,0.213,0.213,0.033,0.147,0.16,0.073,0.007,0,0.153,102933922,서울 마포구 독막로 90 . 1층,070-4833-5487,셀프마라탕(100g),"2,000원",셀프마라샹궈(100g),"3,200원",쏸라펀,"10,000원",마라새우(소),"16,000원"
샐러마리,0.264,0.121,0.162,0.08,0.179,0.032,0.005,0.033,0.125,198511029,서울 마포구 망원로 55-3,02-6104-9105,LA 김밥,"5,500원",샐러 김밥,"5,000원",시금치된장 김밥,"5,500원",머쉬룸 김밥,"5,500원"
당산진미관,0.267,0.186,0.046,0.121,0.088,0.049,0.104,0.078,0.062,103417044,서울 영등포구 양평로14길 12 1층,0507-1485-0036,탕수육(미니),"12,000원",탕수육(소),"18,000원",탕수육(대),"30,000원",[사장님추천]깐풍기(소),"22,000원"
화목,0.37,0.242,0.042,0.176,0.121,0,0,0.048,0,133654218,서울 마포구 월드컵로1길 11 1층,02-3144-0616,꽃갈비살,"27,000원",통목살,"15,000원",통삼겹살,"16,000원",얼음물쫄면,"7,000원"
이츠모라멘,0.329,0.132,0.098,0.061,0.075,0.091,0.074,0.019,0.12,154223112,서울 마포구 와우산로23길 18-7 2층 202호,0507-1309-1997,돈코츠라멘,"9,500원",카라이돈코츠라멘,"10,000원",카라이토리라멘,"10,000원",츠케멘,"10,000원"
평이담백 뼈칼국수 본점,0.372,0.101,0.107,0.091,0.076,0.046,0.145,0,0.062,109280524,서울 마포구 양화로7길 84,0507-1435-3454,뼈칼국수,"11,000원",비빔칼국수,"10,000원",뼈볶음(대),"39,000원",고기부추만두 5개,"6,000원"
호랑이,0.342,0.263,0.132,0,0,0.092,0,0.171,0,18770154,서울 마포구 성지3길 23,010-5567-1637,마라불족발,"22,000원",등뼈마라탕,"23,000원",닭봉튀김,"16,000원",마늘쫑 고기볶음,"14,000원"
38도씨식당,0.308,0.168,0.119,0.062,0.048,0.043,0.027,0.225,0,195961899,서울 마포구 와우산로17길 19-17 2층,0507-1339-8387,이베리코 스테이크,"34,000원",트러플 크림뇨끼,"25,000원",토마토 홍합 스튜,"28,000원",통꽃게 로제파스타,"20,000원"
포르투7 합정점,0.361,0.119,0.079,0.139,0.091,0.076,0,0.134,0,107909712,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 B1,070-4128-2511,시그니처 씨푸드 토마토스튜,"34,800원",감베로니 비스큐 오일파스타,"19,800원",스테이크 페퍼크림파스타,"23,800원",시트러스 레몬 리코타 샐러드,"13,800원"
동두천솥뚜껑삼겹살 합정점,0.323,0.135,0.052,0.037,0.075,0.222,0.156,0,0,135304310,서울 마포구 양화로6길 39 1층,02-332-0405,生통삼겹 / 生통목살 (한판 3인분 600g),"30,000원",生항정살 (한판 3인분 450g),"36,000원",물냉면 / 비빔냉면,"6,000원",메가하이볼,"12,000원"
뷔자데,0.243,0.172,0.178,0.099,0.11,0,0,0.198,0,162541965,서울 마포구 성미산로 157-8 3층,0507-1473-2523,참나물 소이 치킨 스테이크,"20,000원",뷔자데브런치,"18,000원",차돌 꽈리고추 파스타,"17,000원",섬초 트러플 풍기 리조또,"17,000원"
우와,0.365,0.185,0.182,0.048,0.099,0.022,0.03,0.068,0,5622801,서울 마포구 와우산로21길 21-16 2층,0507-1414-9500,토마토 새우 오코노미야끼,"17,000원",클래식 돼지고기 야끼소바,"16,000원",철판꽃갈비살,"19,000원",시오 닭고기 야끼소바,"17,000원"
미삼,0.308,0.153,0.226,0.078,0.12,0.073,0.042,0,0,124137585,서울 마포구 포은로 11 1층 2호,02-332-1892,김치 생삼겹살(국내산),"15,000원",대새롤[새우+대패],"15,000원",치즈계란찜,"7,000원",김치 생목살(국내산),"15,000원"
홍콩반점,0.405,0.191,0.018,0.028,0.048,0.143,0.083,0.013,0.071,75982054,서울 마포구 월드컵로1길 28 2층,0507-1426-6901,특별. 사천탕수육+짜장2,"24,000원",0. 탕수육+(짜장 / 짬뽕) 1택,"18,000원",1. 잡채+짜장+짬뽕,"21,000원",2. 탕수육+짜장+짬뽕,"23,000원"
1989버거스탠드 연남,0.228,0.205,0.096,0.109,0.151,0.037,0.021,0.103,0.049,170491839,서울 마포구 연희로1길 36 2층,0507-1498-7990,,,,,,,,
통영박이충무김밥,0.359,0.095,0.061,0.074,0.086,0.097,0.025,0.02,0.183,6208718,서울 마포구 양화로6길 21,02-335-4979,충무김밥,"8,500원",,,,,,
미장플라쎄,0.283,0.204,0.122,0.105,0.12,0.064,0.025,0.075,0,195134471,서울 마포구 양화로19길 22-30,0507-1419-6682,,,,,,,,
로야토야,0.257,0.16,0.104,0.136,0.184,0.042,0.032,0.086,0,1351942,서울 마포구 월드컵북로6길 57 민호빌딩 1층 로야토야,02-3144-0911,카츠 젠,"28,000원",부타카쿠니 젠,"35,000원",토리마부시 젠,"38,000원",,
뉴오더클럽 연남,0.386,0.157,0.13,0.05,0.056,0.033,0.069,0.118,0,117348060,서울 마포구 동교로34길 3,0507-1428-5701,포테이토(R 13인치),"23,000원",페퍼로니(R 13인치),"22,000원",콰트로 치즈(R 13인치),"21,000원",,
남도분식 현대백화점 신촌점,0.444,0.155,0.068,0.062,0.053,0.068,0.025,0,0.124,127494253,서울 서대문구 신촌로 83,02-3145-1865,시래기떡볶이,"5,500원",짜장떡볶이,"5,500원",수제튀김야끼만두,"1,000원",프리미엄튀김왕김말이,"2,500원"
남영동양문 합정점,0.368,0.181,0.14,0.088,0,0.111,0.07,0.041,0,149458296,서울 마포구 월드컵로 43 1층,0507-1319-3892,생소갈비 한판 (600g),"69,000원",양념 소갈비 (180g),"23,000원",갈비라구스파게티,"14,000원",백골라면 한봉,"8,000원"
고깃세 홍대직영점,0.249,0.141,0.171,0.159,0,0.06,0.115,0.104,0,114843895,서울 마포구 어울마당로 35 1층,070-8657-0292,흑돼지 쫄목살,"12,000원",3초 돈세겹,"12,000원",육즙풍부 우세겹,"14,000원",육향가득 차돌박이,"16,000원"
밥먹는토끼,0.202,0.085,0.021,0.053,0.021,0.149,0.191,0,0.277,103494298,서울 마포구 신촌로2안길 6 지층1호,02-325-8783,토끼김밥,"3,000원",제육덮밥,"7,000원",참치김밥,"3,500원",치즈유부김밥,"3,500원"
오향만두,0.442,0.106,0.132,0.013,0.083,0.122,0.05,0.004,0.048,3287586,서울 서대문구 연희맛로 22 삼원빌딩,02-326-2087,찐만두,"6,000원",군만두,"7,000원",오향장육,"17,000원",고추잡채,"20,000원"
멕시코식당,0.392,0.123,0.205,0.052,0.078,0.035,0.032,0.066,0.017,170048401,서울 마포구 독막로2길 23,0507-1391-3668,치미창가,"16,500원",멕시칸블랙페퍼치킨,"16,500원",엔칠라다,"12,500원",부리또볼,"10,500원"
루시드,0.251,0.197,0.159,0.099,0.148,0.022,0.029,0.095,0,135453362,서울 마포구 독막로14길 24 2층,0507-1419-9353,Avo on Toast 아보 온 토스트,"15,000원",Egg Bennie 에그 베니,"16,000원",Australian Big Brekkie 오스트레일리안 빅 브레키,"19,000원",LUCYD Latte 루시드 라떼,"6,000원"
양화주택,0.234,0.171,0.108,0.132,0.105,0.069,0.083,0.097,0,106473673,서울 마포구 양화로8길 32-5 1층,0507-1386-7141,양화 통삼겹 김치찜,"24,900원",삼국지,"21,900원",고르곤졸라 꿀 감자전,"17,900원",페퍼로니 감자전,"17,900원"
탐라식당,0.373,0.112,0.194,0.015,0.157,0.03,0.03,0.037,0.052,2069438,서울 마포구 와우산로3길 19 1층,02-337-4877,돔베고기 소,"30,000원",제주고기국수,"11,000원",제주토종순대,"25,000원",사골국밥,"11,000원"
숲길정육점,0.371,0.148,0.141,0.076,0.071,0.085,0.108,0,0,127650098,서울 마포구 동교로 256 1층,0507-1322-9614,항껍이 (2~3인분) 510g,"45,000원",항삼이 (2~3인분) 510g,"49,000원",항목이 (2~3인분) 510g,"49,000원",항항이 (2~3인분) 510g,"54,000원"
한식 오마카세 미지,0.251,0.201,0.106,0.115,0.105,0.084,0.035,0.102,0,115354322,서울 마포구 독막로5길 33 3층,0507-1436-4015,코스요리 1인,"79,000원",콜키지(1병),"30,000원",일품진로(375ml),"33,000원",화요(375ml),"33,000원"
몽중식,0.233,0.21,0.254,0.044,0.055,0.02,0.019,0.165,0,147669092,서울 마포구 동교로 257 2층,0507-1342-7567,"[지금, 만나러 갑니다 ]디너 코스","93,000원","[지금, 만나러 갑니다] 런치 코스","38,000원",,,,
중화복춘,0.308,0.155,0.171,0.049,0.135,0.017,0.084,0.083,0,3830127,서울 마포구 동교로 220-7 101호,0507-1436-2209,ㅡ[福春冷菜] [복춘냉채]ㅡ,변동,오향장육小 [안휘본토풍][五香酱肉],"54,000원",복춘 류린지 [熘淋鸡],"38,000원",구품복춘 양장피 小 [黑醋凉皮],"67,000원"
묘한식탁,0.254,0.208,0.162,0.064,0.085,0.051,0.039,0.136,0,155205392,서울 마포구 포은로2나길 44 1층,010-8698-6966,굴라쉬,"23,000원",돼지고기찜,"28,000원",무우튀김,"11,000원",참나물 오일 파스타,"19,000원"
뜻밖에양꼬치,0.488,0.181,0.084,0.052,0.06,0.092,0.042,0,0,197337207,서울 마포구 어울마당로 115,070-7792-2222,양꼬치 (200g),"14,000원",2인꼬치한판,"29,000원",호주산 청정 양등심(180g),"19,000원",양어깨살 스테이크(180g),"14,000원"
스아게,0.37,0.105,0.204,0.064,0.1,0.025,0.027,0,0.106,183756080,서울 마포구 와우산로29라길 7 1층,02-336-1029,하와이안새우카레,"14,000원",가쿠니카레,"14,000원",닭꼬치카레,"12,000원",야채카레,"12,000원"
스페이스원 버거,0.243,0.162,0.091,0.125,0.126,0.057,0.034,0.115,0.048,172478175,서울 마포구 와우산로21길 20-10 1층 스페이스원 수제버거,070-4234-3700,,,,,,,,
모츠모츠,0.348,0.199,0.149,0.098,0.105,0,0.051,0.051,0,187562436,서울 마포구 연남로3길 23 1층,0507-1349-3397,모츠나베,"34,000원",키노코나베,"34,000원",모츠나베 - 특,"51,000원",모츠나베 - 1인전용,"21,000원"
초마,0.485,0.121,0.097,0.032,0.106,0.032,0.074,0,0.052,1357540,서울 마포구 와우산로 72,070-7661-8963,짬뽕,"11,000원",유니짜장,"8,000원",하얀짬뽕,"11,000원",탕수육,"19,000원"
미식가주택,0.375,0.153,0.254,0.065,0,0,0,0.153,0,128708007,서울 마포구 와우산로 15-5 1층,0507-1329-9808,오리가슴살 구이와 제철소스,"27,000원",전복내장파스타,"25,000원",주택식 시메사바 보우즈시,변동,주택식 가라아게,"16,000원"
삶천식당,0.233,0.186,0.023,0.081,0.058,0.221,0.07,0,0.128,137792979,서울 마포구 동교로50길 17 지하1층,0507-1487-3022,제육복음,"3,000원",제육볶음,"3,000원",,,,
백리향,0.468,0.195,0.056,0.056,0.092,0.078,0.056,0,0,171244668,서울 마포구 양화로 45 메세나폴리스 몰동 B1108호,02-336-7227,굴짬뽕,"11,000원",중화냉면,"11,000원",칠리중새우,"33,000원",양장피,"28,000원"
웅장,0.327,0.212,0.212,0.102,0,0.029,0,0.118,0,133579432,서울 마포구 포은로 73 1층,0507-1308-6389,"동파육 with꽃빵,야채","36,000원",어향가지새우,"26,000원",소안심흑후추볶음,"30,000원",마파두부,"20,000원"
달달식당,0.227,0.157,0.151,0.032,0.086,0.141,0.059,0.054,0.092,165450099,서울 마포구 포은로 40 1층 달달식당,010-5388-5178,반건조 노가리,"10,000원",어묵탕,"10,000원",달달스페셜,"15,000원",김말이튀김,"2,000원"
아소토,0.457,0.19,0.166,0.057,0,0,0,0.13,0,156768153,서울 마포구 독막로2길 34 1층 아소토,0507-1345-9622,제철사시미,"40,000원",마구로치즈아에,"18,000원",닭목살소금구이,"16,000원",바지락술찜,"20,000원"
홍대IN파스타,0.32,0.136,0.048,0.056,0.081,0.186,0.088,0.045,0.039,91160712,서울 마포구 홍익로5안길 32 준빌라,0507-1434-0810,까르보나라,"7,900원",뽀모도로,"7,900원",페스카토레,"7,500원",해산물크림파스타,"8,500원"
취홍,0.393,0.149,0.048,0.032,0.075,0.117,0.085,0.01,0.091,3757881,서울 마포구 신촌로 60,070-8287-0758,짜장면,"7,000원",해물짬뽕,"9,000원",차돌박이짬뽕,"9,000원",HUCAI볶음밥,"8,000원"
소제이 연남점,0.253,0.219,0.141,0.124,0.101,0.035,0.048,0.078,0,152546944,서울 마포구 성미산로 195 1층 105호,0507-1320-2950,매운소꼬리찜(중),"53,000원",소꼬리찜(중),"50,000원",에레이꽃갈비300g(추가),"30,000원",에레이꽃갈비100g(최소주문500g),"10,000원"
마포소금구이,0.512,0.102,0.074,0,0.051,0.191,0.042,0.028,0,8285031,서울 마포구 양화로 27,02-324-2198,모듬 세트,"49,000원",껍질 2인,"16,000원",소금구이 2인,"32,000원",,
마포소금구이,0.512,0.102,0.074,0,0.051,0.191,0.042,0.028,0,8285031,서울 마포구 와우산로32길 32,02-335-4077,소갈비살,"13,000원",소막창,"14,000원",돼지갈비,"14,000원",껍데기,"8,000원"
마포소금구이,0.579,0.114,0.082,0,0.064,0.114,0.046,0,0,1879153,서울 마포구 양화로 27,02-324-2198,모듬 세트,"49,000원",껍질 2인,"16,000원",소금구이 2인,"32,000원",,
마포소금구이,0.579,0.114,0.082,0,0.064,0.114,0.046,0,0,1879153,서울 마포구 와우산로32길 32,02-335-4077,소갈비살,"13,000원",소막창,"14,000원",돼지갈비,"14,000원",껍데기,"8,000원"
주미담 홍대점,0.319,0.206,0.099,0.149,0,0,0,0.227,0,109856806,서울 마포구 와우산로17길 10 1층 주미담 홍대점,010-6261-2512,연어 사시미,"29,000원",연어 & 육회,"25,000원",소고기 타다끼,"25,000원",연어 타르 샐러드,"23,000원"
요새,0.245,0.166,0.08,0.098,0.141,0.043,0.043,0.184,0,112980652,"서울 마포구 동교로 273-1 지1, 1층",0507-1376-8155,야키토리 9종세트,"26,000원",야키토리 7종세트,"21,000원",토리나베,"27,000원",오뎅나베,"27,000원"
프렌즈리,0.376,0.176,0.066,0.052,0.098,0.091,0.033,0,0.108,179061514,서울 마포구 양화로 26 203호,,,,,,,,,
밀라노식당,0.308,0.168,0.125,0.089,0.096,0.047,0.021,0.146,0,130958562,서울 마포구 연남로1길 6-9 예나빌딩 1F,010-5415-5759,오늘의 브루스케타 (2pcs),"8,500원",오늘의 피자,"18,000원",루꼴라 부라타 샐러드,"18,000원",네가지 치즈 뇨끼,"19,000원"
자성당,0.417,0.043,0.15,0.02,0.074,0.086,0.093,0,0.117,3495925,서울 마포구 잔다리로7안길 3,02-324-1707,자성당끝판왕세트,"25,000원",자성당떡볶이(밀떡),"5,000원",자성당비빔쫄면(1인분),"7,000원",자성당냉쫄면(1인분),"7,000원"
반미프엉,0.394,0.067,0.153,0,0.105,0.046,0.054,0.142,0.04,143666736,"서울 마포구 성미산로29길 20 1, 2, 3층",02-3144-1898,모듬반미,"9,000원",바비큐반미,"8,000원",치킨앤치즈반미,"9,000원",비프에그반미,"9,000원"
펑요우 합정역본점,0.254,0.159,0.159,0.098,0.089,0.037,0.043,0.161,0,112586830,서울 마포구 독막로 5 1층,02-3144-2102,광동식 소고기 훠궈,"28,000원",홍샤오러우,"21,000원",궁빠오지딩,"19,000원",커우수이지,"18,000원"
하동우렁추어탕 합정본점,0.456,0.137,0.057,0.068,0.094,0.049,0.093,0,0.045,4097624,서울 마포구 월드컵로 39,02-337-6559,추어탕+솥밥,"11,000원",우렁추어탕+솥밥,"13,000원",전복추어탕+솥밥,"16,000원",곤드레우렁이돌밥,"10,000원"
은하루,0.395,0.149,0.092,0.071,0.138,0.052,0.044,0.03,0.03,188233573,서울 마포구 월드컵로3길 56,02-322-4508,유니짜장,"8,000원",짬뽕,"10,000원",마파두부덮밥,"10,000원",돼지고기 가지 덮밥,"9,000원"
연남고을집,0.394,0.102,0.029,0.042,0.083,0.114,0.129,0,0.106,141366948,서울 마포구 동교로 240 1층,02-333-9921,고등어구이,"9,000원",동태탕,"11,000원",부대찌개,"10,000원",김치찌개,"8,000원"
토끼정 홍대,0.323,0.18,0.1,0.089,0.044,0.058,0.11,0.097,0,3831447,서울 마포구 잔다리로2길 13 1층~3층,02-333-0638,파스타 토끼밥상,"35,800원",일본풍 토마토 파스타,"15,800원",프레시 바질 파스타,"15,800원",토끼정 3인밥상,"39,800원"
